VersionInfo.ProductName,VersionInfo.ProductVersion,VersionInfo.FileVersion,OpenArrayPlate.SerialNumber,OpenArrayPlate.ChipTransformsApplied,Assay.Assay ID,Assay.Assay Number,Assay.TaqMan Assay ID,Assay.Assay Name,Assay.Assay Type,Assay.Assay Pool,Assay.AmplificationCurveDyeNames.0,ThroughHole.Ct,ThroughHole.Concentration,ThroughHole.ConcentrationUnit,ThroughHole.Outlier,ThroughHole.CtConfidence,ThroughHole.Tm,ThroughHole.TmData.Area,ThroughHole.Address,ThroughHole.IntensityData.ROX.1,ThroughHole.IntensityData.FAMTP.1,SamplePlate.SerialNumber,SampleInfo.SampleID,SampleInfo.Description,SampleInfo.Dilution
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001821_hsa-miR-484,109,TM001821,hsa-miR-484,TARG,A,FAMTP,15.272,,,FALSE,601.7843318,,0,A10d5,293.237486,3369.498408,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001821_hsa-miR-484,109,TM001821,hsa-miR-484,TARG,A,FAMTP,17.598,,,FALSE,593.5586069,,0,A10d5,244.4967573,3182.013643,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001346_mmu-miR-497,110,TM001346,mmu-miR-497,TARG,A,FAMTP,18.951,,,FALSE,1067.734038,,0,A10d6,303.0417061,3441.879766,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001346_mmu-miR-497,110,TM001346,mmu-miR-497,TARG,A,FAMTP,21.491,,,FALSE,983.5333666,,0,A10d6,251.2443426,3399.124162,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001232_snoRNA202,895,TM001232,snoRNA202,ENDO,B,FAMTP,11.294,,,FALSE,1389.393934,,0,A10d7,301.342258,3705.083649,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001232_snoRNA202,895,TM001232,snoRNA202,ENDO,B,FAMTP,12.611,,,FALSE,896.4825609,,0,A10d7,248.8181166,3571.875127,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002563_mmu-miR-542-5p,112,TM002563,mmu-miR-542-5p,TARG,A,FAMTP,40,,,FALSE,132.8542073,,0,A10d8,297.2706921,3193.935301,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002563_mmu-miR-542-5p,112,TM002563,mmu-miR-542-5p,TARG,A,FAMTP,40,,,FALSE,0,,0,A10d8,239.3551214,3435.987253,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001655_mmu-miR-505,137,TM001655,mmu-miR-505,TARG,A,FAMTP,40,,,FALSE,36.5669763,,0,A10e1,322.0194242,3476.960166,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001655_mmu-miR-505,137,TM001655,mmu-miR-505,TARG,A,FAMTP,40,,,FALSE,20.08797841,,0,A10e1,273.5636788,3561.984981,GPK57,C2,mutant,1
